,0
20,"Hey FBE Family! New podcast episode where we talk about the behind the scenes of the company and answers your questions! ""FBE PODCAST | Producing React, Top 10s, New Pilots (Ep #22)"" https://goo.gl/MHA2iq
Not seeing your favorite 80s music artist? We likely featured them in another episode of the show! Click to watch! https://goo.gl/uAVnoI
Thanks for watching! New videos at 12pm PT every day of the week!
Be part of the FBE Family! Subscribe, then hit the 🔔  & check the box.
Notification Squad: We respond to comments the first 30 minutes a video is uploaded, so be sure to turn on notifications and come say hi sometime!
Thank you for supporting us all & our company! You’re all amazing!
- FBE Team"
21,"Athletic accomplishments:
Ryan - Hawaiian state wrestling champion, 2008
Derrick - Bboy beast
Paco - 5th place @ Las Vegas potato chip eating competition"
22,"We hope you all enjoyed the video! Who do you think REKT stuff the best? Check out our upcoming videos on Tuesdays, Thursdays, and Sundays at 3PM and hit Subscribe to make sure you don’t miss em’! Love you all!
-Tanner"
23,Etes vous d'accord avec cette sélection de films ?
24,Love yo faces Nation!
25,"Tusi views de li bhajjo, aapan rooh de Sangeet de layi bhajjde aa,dekhde jittda Kaun. Naale Haan ehnu kehnde kalakaari te ehnu kehnde kalakaar."
26,LAST SONG WAS A BANGERRRR
27,"""These five words in my head scream, 'Are you having fun, Rhett?'"""
28,Never underestimate the skills of a drunk man who knows how to braid
29,"""Snake, passe moi le sel.""

""Le sel ?"""
30,乔娜不是离过婚吗 哪有富二代妈妈喜欢离过婚的儿媳妇的 不合理
31,World leaders only?... No! EVERYONE is laughing
32,Can’t wait to see “Jeremy’s Shitball Morning” get animated.
33,I feel like Hila and Ethan would make a great couple
34,Excellent job with the CGI. Making little chicken boy carrying thiccc /\utumn look damn realistic.
35,"My life is brilliant, my love is pure, check out new shirts in my merch store! www.dannyduncan69.com"
36,Great... no constant Yammer from the announcers... and real crowd reaction as well as coaches giving instructions !!! The real way futbol should be listened to and watched...BRAVO !
37,Please vote out all Republicans (over 50 & who have been in office more than 20 years) out of office!!! They don't have a spine or any moral empathy!!!!
38,"I am a 50+ year old and I have to say that I absolutely adore you.  I am disabled and have been extremely depressed about it.  Since I started watching you, you have literally brought me back to life.  I don't have instagram or anything and am probably too dumb to figure it out, but I love watching your YouTube Videos.  I have very limited funds.  Was almost homeless with my 10 year old but I have been slowly coming out of all of this.  I can now purchase at least one of your items.  I really want one of your mirrors but I think i will settle for one of your beautiful nude type lipsticks.  I just want you to NEVER change.  You are wonderful the way you are.  You are truly a special person!! You bring joy to so many people including myself!!  I never comment on anything but you give me such hope and inspiration that I had to!! Just keep doing you!! xxxooo"
39,The Michael Moore childhood story of meeting Robert Kennedy is divine!
40,Nazim Kadri Bob ROSS! !!!
41,Tu es né sur la planète veux jeu ta
42,"What a beautiful melodic language Indians have , they should be proud of it and use less English!
Love India 🇮🇳 from Libya 🇱🇾"
43,"What does Joyce do if she gets a flat tire???....








Byer self a new one"
44,"There's alot of talents in the Philippines. Mabuhay, welcome to Manila..."
45,HERE IS WHAT I BOUGHT: https://www.youtube.com/watch?v=YTiYQwk7Bw0
46,Sunanda sharma ki har songs m eyebrow hilane ki style kitni achi lagti h...
47,Cuando Jennifer cumple años es como cumplir 1 año menos de tan joven que se ve 😂
48,Anyone else thought that was Liv Tyler in the screenshot?
49,"They don't believe in it, they just want to pick your pockets for it"
50,nav look like drake tying to be dj khaled for halloween
51,"NEW VIDEO LINK BELOW!!! 
 WHY LONZO BALL IS HATED BY HIS OWN TEAMMATES!! https://www.youtube.com/watch?v=tClGIRj4rTo"
52,Nice broo
53,"Kourtney has the best body in the entire family. If you look at her butt, you know that is how Kylie, Kim and Khloe's old butts used to look like before they got implants."
54,"HUGE THANKS to ExpressVPN for offering all Food Ranger viewers 3 months free and 49% off their yearly package using this link: https://ExpressVPN.com/Thefoodranger . Travelers need ExpressVPN to stay safe online and to unblock any site. I personally use it for Netflix, even while at home in Canada, but also while traveling to unblock content and episodes that are geoblocked, and I also use it for security, because airport wifi and hotel wifi is often very insecure, leaving my data vulnerable. By connecting to one of their servers around the world, it’s just like my computer or phone is in that location, and all data sent while connected to their VPN is secure, safe, and private from others to see, so I know that my data won’t be hacked or looked at by others. Thanks so much for watching, and we have tons more videos coming up for you! Please leave me a comment below letting me know what you thought about this episode, thanks so much!!!"
55,"Going to bed, dat boi tweeter"
56,"""I bashed my mouse on the keyboard at a vital moment in the Penis phase.""
Story of my life."
57,Much luve for coww this just saddd for all
58,3 idiots fans hit like😊😎and that dialogue says everything 😊
59,On my view boy done right. When daaku killed so many innocent farmers that time police couldn’t find any proof against him. ( it’s all hand shake under the table depend how hard u shake) when boy done it they found everything  coz he can’t afford the TABLE. I wish our real police like this drama police. Salute to good officers
60,But AI is a whole different thing from Automation. Automation isn't 'intelligent' so this will be very different.
61,got my entire life savings on Leafs for the Cup
62,KUCH  BHI HO SHARIF FAIMLY KA ANJAM BAYANAK HOGA INSHA ALLAH CHORO KA JINAZA NIKLY GA HAM APNY ADLIA AOR PAK FOJ KY SATH HAI PTI ZINDABAD PAK FOJ ZINDABAD
63,"60 year old man ""You take my Arty's and im done"""
64,"Saang station ka makakakita ng ganitong concept - na kayang pagsamahin sa iisang pamPaskong Station ID ang mga Christians at Muslims? Only ABS-CBN can do that and NO ONE ELSE CAN!!!

My VERDICT: I was expecting a full star power but they put more emphasis to the small deeds of people, which shows different concepts of Love. 
It's like:
50% - Star Power
30% - Christian-Muslim Unity
20% - Social Media Charity Wonders
If you're looking for a relevant, moving and sentimental but atmospheric CSID, then this is the one for you. 
All of the biggest, brightest and best stars are here already. 
Hindi nila kailangang magpaawa para magmukhang gumagawa ng ""charity deed"".
Hindi na kailangang i-announce na may gagawin silang ""charity deed"".
Kusa na lang iyon lalabas sa kanila. 

CONGRATULATIONS ABS-CBN for a JOB WELL DONE!!! You made me cry while watching your CSID."
65,Hnd Nya Alam na mamamatay sya . wag nyong bigyan ng ibig sabihin yung nasa Vid. Wala namn sigurong tao Ang gusto mamatay Agad . Just Saying .
66,Thielen destroyed Norman!!! Thielen and Diggs are the best duo!
67,咩咩羊大小姐戏太足了，啊哈哈哈，这位大姐要火，哈哈哈哈！
68,THIS IS THE GREATEST THING I'VE EVER DONE IN MY WHOLE LIFE!!! PLEASE LIKE AND SHARE THE VIDEO AROUND! SPREAD POSITIVITY!! PLEASE DROP A LIKE FOR MICHAEL. ONE OF THE BEST PEOPLE I'VE EVER MET!
69,hows ur #nonutnovember going
70,"#StandUp
This has happened to so many people and no one even knew about it until recently. One person coming out about it and so many more women felt strong, so they came out. I'm glad they are."
71,为刘天池老师打call，看了培训王俊凯那段被震撼了。
72,Niki looks way better than any man I’ve seen in a suit wow she looks so badass
73,"Uses 2 Xeons
10 high/top end GPU
And old, already used once tape"
74,实在不喜欢一号男嘉宾，感觉婚后会家暴。。。。
75,Rip shiva Rip Daniel Rip Alvaro Rip all kingdom members
76,捧杀中国的媒体早就有了，政府对自己的情况当然清楚，我们又不是印度，台湾，不知道自己几斤几两，我们需要的是一个和平的环境而已没有其他
77,C'est moi le meilleur ! Non ?
