,Title,Comments
42,"Gerrymandering, Conservative Comedians, Bobby Kennedy | Overtime with Bill Maher (HBO) - YouTube",The Michael Moore childhood story of meeting Robert Kennedy is divine!
43,NELK - Before They Were Famous - Kyle Forgeard & Jesse Sebastiani - YouTube,"Jeeez boys , guess I'll cut up some limes 🍻"
44,"LFR11 - Game 19 - B Sweeper - Tor 4, Bos 1 - YouTube",Nazim Kadri Bob ROSS! !!!
45,LES PIRES DOUBLAGES FRANÇAIS - YouTube,Tu es né sur la planète veux jeu ta
46,Padmaavat: Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali - YouTube,"What a beautiful melodic language Indians have , they should be proud of it and use less English!
Love India 🇮🇳 from Libya 🇱🇾"
47,WOW NAPAKAHUSAY ! DUTERTE AT TRUMP NAPAHANGA SA MGA BIGATING SINGING ARTIST KUMANTA SA 31st ASEAN - YouTube,"There's alot of talents in the Philippines. Mabuhay, welcome to Manila..."
48,SHOPPING FOR NEW FISH!!! - YouTube,HERE IS WHAT I BOUGHT: https://www.youtube.com/watch?v=YTiYQwk7Bw0
49,KOKE (Full Video) | SUNANDA SHARMA | Latest Punjabi Songs 2017 | MAD 4 MUSIC - YouTube,Sunanda sharma ki har songs m eyebrow hilane ki style kitni achi lagti h...
50,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin - YouTube",September 2019...???  Amor Amor Amor 😍😘😍😘😍😘😍😘😍😘
51,Celebs You Didn't Know Passed Away - YouTube,Dude dies at 89 due to lost battle to cancer? more like he won
52,"How ""green"" delegates keep warm at UN Climate Change Conference - YouTube","They don't believe in it, they just want to pick your pockets for it"
53,NAV - Wanted You feat. Lil Uzi Vert (Official Audio) - YouTube,nav look like drake tying to be dj khaled for halloween
54,BREAKING: LiAngelo Ball Just Got THROWN INTO PRISON!! Will China MURDER LiAngelo Ball? - YouTube,"NEW VIDEO LINK BELOW!!! 
 WHY LONZO BALL IS HATED BY HIS OWN TEAMMATES!! https://www.youtube.com/watch?v=tClGIRj4rTo"
55,RUM (Regular Use Medicine) By Meet Hundal || Deep Jandu || Bamb Beats || Latest Punjabi Song 2017 - YouTube,Nice broo
56,KUWTK | Khloe & Kourtney Kardashian Workout Hungover | E! - YouTube,"Kourtney has the best body in the entire family. If you look at her butt, you know that is how Kylie, Kim and Khloe's old butts used to look like before they got implants."
57,AMAZING Street Food  in CHINA | RARELY SEEN Street Food ADVENTURE TRAVEL VLOG 2017 - YouTube,"HUGE THANKS to ExpressVPN for offering all Food Ranger viewers 3 months free and 49% off their yearly package using this link: https://ExpressVPN.com/Thefoodranger . Travelers need ExpressVPN to stay safe online and to unblock any site. I personally use it for Netflix, even while at home in Canada, but also while traveling to unblock content and episodes that are geoblocked, and I also use it for security, because airport wifi and hotel wifi is often very insecure, leaving my data vulnerable. By connecting to one of their servers around the world, it’s just like my computer or phone is in that location, and all data sent while connected to their VPN is secure, safe, and private from others to see, so I know that my data won’t be hacked or looked at by others. Thanks so much for watching, and we have tons more videos coming up for you! Please leave me a comment below letting me know what you thought about this episode, thanks so much!!!"
58,"Drako - ""Watch Me Do It"" [Official Video] - YouTube","Going to bed, dat boi tweeter"
59,Let's Play - Civic Doodle with Tim Gettys - YouTube,"""I bashed my mouse on the keyboard at a vital moment in the Penis phase.""
Story of my life."
60,Secrets of Dairy: Larson Dairy Farm - YouTube,Much luve for coww this just saddd for all
61,Operation: Dry Tank - YouTube,"Only Hamish and Andy could take something as mundane as seeing how far your car can drive on an empty tank, and make it such an unbelievably funny and entertaining video"
62,Fukrey Returns | Trailer | Pulkit Samrat | Varun Sharma | Manjot Singh | Ali Fazal | Richa Chadha - YouTube,3 idiots fans hit like😊😎and that dialogue says everything 😊
63,"Crime Patrol Dial 100 - क्राइम पेट्रोल - Ep 650 - Full Episode - 10th November, 2017 - YouTube",The character playing the zamindar is a brilliant actor. His expressions feel very real and natural
64,"The big debate about the future of work, explained - YouTube",But AI is a whole different thing from Automation. Automation isn't 'intelligent' so this will be very different.
65,McElhinney shines in Leafs' 4-1 win over the Bruins - YouTube,got my entire life savings on Leafs for the Cup
66,Live with Dr.Shahid Masood | Asif Zardari | NawazSharif | MQM | 12-November-2017 - YouTube,"دل باغ باغ ہوتا ہے جب آپ فرماتے ہیں ""کچھ مار دیے جائیں گے,کچھ پکڑے جائیں گے,کچھ بھاگ جائیں گے,کچھ بھاگ کر پکڑے جائیں گے"""
67,Angry Racist Gamer Gets HACKED (crazy) - YouTube,"60 year old man ""You take my Arty's and im done"""
68,ABS-CBN Christmas Station ID 2017 “Just Love Ngayong Christmas” - YouTube,"Saang station ka makakakita ng ganitong concept - na kayang pagsamahin sa iisang pamPaskong Station ID ang mga Christians at Muslims? Only ABS-CBN can do that and NO ONE ELSE CAN!!!

My VERDICT: I was expecting a full star power but they put more emphasis to the small deeds of people, which shows different concepts of Love. 
It's like:
50% - Star Power
30% - Christian-Muslim Unity
20% - Social Media Charity Wonders
If you're looking for a relevant, moving and sentimental but atmospheric CSID, then this is the one for you. 
All of the biggest, brightest and best stars are here already. 
Hindi nila kailangang magpaawa para magmukhang gumagawa ng ""charity deed"".
Hindi na kailangang i-announce na may gagawin silang ""charity deed"".
Kusa na lang iyon lalabas sa kanila. 

CONGRATULATIONS ABS-CBN for a JOB WELL DONE!!! You made me cry while watching your CSID."
69,Last Video of Hashtag Franco Before He Died - YouTube,Hnd Nya Alam na mamamatay sya . wag nyong bigyan ng ibig sabihin yung nasa Vid. Wala namn sigurong tao Ang gusto mamatay Agad . Just Saying .
70,Vikings vs. Redskins | NFL Week 10 Game Highlights - YouTube,Thielen destroyed Norman!!! Thielen and Diggs are the best duo!
71,【ENG SUB】《极限挑战III》第11期20171110：黄渤魔性PK斗鸡眼 张艺兴罗志祥戏精上身喝毒酒话离别！ Go Fighting S3 EP.11【东方卫视官方高清】 - YouTube,咩咩羊大小姐戏太足了，啊哈哈哈，这位大姐要火，哈哈哈哈！
72,"LATEST Q POSTS: ROTHSCHILDS, HOUSE OF SAUD, lLLUMlNATl +++MASSIVE INTEL DROP -PART4 - YouTube",WATCH OUT BOTS BELOW:
73,Transforming a Homeless Mans Life... **SUPER EMOTIONAL** - YouTube,THIS IS THE GREATEST THING I'VE EVER DONE IN MY WHOLE LIFE!!! PLEASE LIKE AND SHARE THE VIDEO AROUND! SPREAD POSITIVITY!! PLEASE DROP A LIKE FOR MICHAEL. ONE OF THE BEST PEOPLE I'VE EVER MET!
74,Online Gaming Insults Gone Wild - YouTube,hows ur #nonutnovember going
75,The 'Stranger Things' Kids Were Nearly a Motown Super Group - YouTube,"Ok but like
Finn’s in a band and can sing
Caleb and Gaten and Sadie all came from broadway
Millie is an amazing singer
Noah can sing too
How are they all so talented??"
76,10 More Famous Men EXPOSED After The Harvey Weinstein Scandal - YouTube,"#StandUp
This has happened to so many people and no one even knew about it until recently. One person coming out about it and so many more women felt strong, so they came out. I'm glad they are."
77,"【FULL】王俊凯不满章子顶嘴争执火药味十足？ 欧阳娜娜郑昊致敬经典被评""演技不太好"" 《演员的诞生》第3期 20171111 [浙江卫视官方HD] - YouTube",以前对章子怡无感，现在通过演员的诞生，看到她真是一个对艺术很有追求，对自己的职业很认真并怀有热情和敬畏之心的人，怪不得她能成为“国际章”，现在看来真的不是是她运气好，而是她自身能力使然。
78,I Tried To Plan The Perfect Wedding - YouTube,"Do you see those two people? 
Do you see the smiles on their faces?
Do you see the love in their eyes?
Good. Because that's what it is. Love."
79,IS GPU MINING STILL PROFITABLE? - Mining Adventure Part 1 - YouTube,"Uses 2 Xeons
10 high/top end GPU
And old, already used once tape"
80,非诚勿扰 完整版 “小朱亚文”亮相《非诚勿扰》 孟非上演cosplay首秀 171111 - YouTube,实在不喜欢一号男嘉宾，感觉婚后会家暴。。。。
81,'Helping People' Sneak Peek Ep. 805 | The Walking Dead - YouTube,"two men enter, one man leaves..."
82,《文茜世界周報》美媒狂酸川普　對華貿易選前選後判若兩人2017.11.11|Sisy's World News【完整版-FULL HD】 - YouTube,中国上升是真的，但国内的问题也很多，中国现在应该将精力集中到国内，自己强才是真的强，别人的恭维只是包着糖衣的虚无，没意义，中国缺的是时间，加油1
83,"LA PIRE PARTIE ft Le Rire Jaune, Pierre Croce, Fabien Olicard, Nad Rich' Hard, Max Bird, Studio Vrac - YouTube","Ptdrrr quand kevin imite, tout le monde pense a un chinois, les batards😂"
